,Referenzjahr,Stations_id,observed time emergence to beginning of flowering,observed time emergence to yellow ripeness,lat,lon
24920,2017.0,12971.0,57.0,117.0,50.9667,14.05
24921,2017.0,13004.0,73.0,116.0,51.4833,13.1333
24922,2017.0,13005.0,62.0,103.0,51.65,12.8833
24923,2017.0,13011.0,64.0,107.0,51.4,14.7833
24924,2017.0,13020.0,76.0,,51.3667,12.6333
24925,2017.0,13021.0,57.0,89.0,51.4333,12.6833
24926,2017.0,13069.0,71.0,,52.2167,11.9833
24927,2017.0,13083.0,64.0,,51.5333,11.7
24928,2017.0,13089.0,72.0,114.0,52.6167,11.3
24929,2017.0,13094.0,66.0,,52.5,12.0333
24930,2017.0,13101.0,71.0,,51.6833,12.55
24931,2017.0,13102.0,59.0,104.0,51.8167,12.55
24932,2017.0,13115.0,63.0,,51.9667,10.7167
24933,2017.0,13126.0,66.0,108.0,52.2,11.3333
24934,2017.0,13158.0,62.0,128.0,52.6333,11.0833
24935,2017.0,13197.0,58.0,140.0,51.2333,11.8167
24936,2017.0,13198.0,70.0,123.0,52.0833,11.1167
24937,2017.0,13214.0,68.0,116.0,52.7167,11.8333
24938,2017.0,13216.0,76.0,127.0,52.8833,11.7333
24939,2017.0,13268.0,66.0,94.0,51.9,11.7167
24940,2017.0,13279.0,63.0,106.0,52.6167,11.8667
24941,2017.0,13302.0,62.0,126.0,51.8167,11.0333
24942,2017.0,13346.0,66.0,133.0,50.9667,11.35
24943,2017.0,13370.0,62.0,105.0,51.3,11.2167
24944,2017.0,13400.0,62.0,120.0,51.0667,10.8333
24945,2017.0,13410.0,82.0,,51.0333,10.7167
24946,2017.0,13425.0,74.0,,50.7,12.1667
24947,2017.0,13431.0,90.0,131.0,51.2667,10.1667
24948,2017.0,13445.0,68.0,119.0,50.4333,10.9167
24949,2017.0,13475.0,50.0,114.0,51.1833,10.7
24950,2017.0,13490.0,70.0,134.0,50.5552,10.2862
24951,2017.0,13494.0,63.0,147.0,50.5,10.35
24952,2017.0,13507.0,74.0,127.0,51.25,10.4
24953,2017.0,13573.0,65.0,,50.75,10.35
24954,2017.0,13584.0,56.0,122.0,50.8833,12.3667
24955,2017.0,13586.0,67.0,98.0,51.1833,10.95
24956,2017.0,13589.0,68.0,,51.2167,11.0833
24957,2017.0,13596.0,58.0,111.0,51.3,10.7667
24958,2017.0,13601.0,74.0,129.0,50.3,11.2333
24959,2017.0,13602.0,63.0,120.0,50.35,11.0667
24960,2017.0,13618.0,71.0,121.0,50.5167,10.7667
24961,2017.0,13626.0,66.0,110.0,50.8667,11.2
24962,2017.0,13639.0,73.0,130.0,51.4,10.4167
24963,2017.0,13642.0,74.0,,51.35,10.3333
24964,2017.0,13649.0,77.0,122.0,50.7,11.9833
24965,2017.0,13659.0,59.0,106.0,51.6833,14.0
24966,2017.0,13661.0,73.0,137.0,54.2167,9.8833
24967,2017.0,13685.0,62.0,,52.2167,8.1167
24968,2017.0,13719.0,63.0,,50.9167,7.65
24969,2017.0,13789.0,77.0,,54.8333,9.05
24970,2017.0,13920.0,66.0,119.0,51.9,9.8667
24971,2017.0,13921.0,51.0,107.0,52.3833,10.4167
24972,2017.0,13924.0,67.0,,53.4333,8.8167
24973,2017.0,13935.0,51.0,120.0,48.6167,13.5
24974,2017.0,13951.0,68.0,101.0,53.7667,11.25
24975,2017.0,13958.0,59.0,120.0,51.7667,6.8333
24976,2017.0,13962.0,67.0,131.0,51.3,13.0667
24977,2017.0,13994.0,60.0,,52.5,8.7333
24978,2017.0,14091.0,63.0,122.0,52.9,12.75
24979,2017.0,14140.0,64.0,,50.3,8.7833
24980,2017.0,14192.0,73.0,112.0,51.1481,14.5733
24981,2017.0,14220.0,62.0,123.0,51.736,6.546
24982,2017.0,14245.0,65.0,,49.1103,11.1217
24983,2017.0,14252.0,65.0,136.0,50.2556,10.9622
24984,2017.0,14330.0,63.0,,50.3,10.2167
24985,2017.0,14334.0,50.0,102.0,52.4333,12.5833
24986,2017.0,14337.0,60.0,126.0,53.5667,12.05
24987,2017.0,14433.0,52.0,,50.0167,6.2833
24988,2017.0,14434.0,57.0,,54.25,9.7
24989,2017.0,15005.0,67.0,,51.7333,12.0333
24990,2017.0,15021.0,67.0,126.0,50.8667,6.6833
24991,2017.0,15035.0,64.0,117.0,51.3,12.1667
24992,2017.0,15037.0,66.0,135.0,51.45,7.4167
24993,2017.0,15042.0,77.0,,49.7842,7.9658
24994,2017.0,15077.0,57.0,104.0,48.65,9.7167
24995,2017.0,15097.0,62.0,115.0,48.38,12.42
24996,2017.0,15107.0,77.0,114.0,53.9667,11.55
24997,2017.0,15130.0,73.0,123.0,53.45,7.3667
24998,2017.0,15131.0,61.0,112.0,52.15,8.6333
24999,2017.0,15138.0,54.0,89.0,51.08,12.514
25000,2017.0,15141.0,64.0,144.0,53.3333,7.3167
25001,2017.0,15143.0,61.0,107.0,50.8167,7.75
25002,2017.0,15148.0,63.0,113.0,52.35,11.3667
25003,2017.0,15206.0,70.0,,52.45,9.8
25004,2017.0,15229.0,68.0,131.0,49.6821,8.395
25005,2017.0,15230.0,66.0,125.0,49.4683,8.5002
25006,2017.0,15237.0,58.0,118.0,51.7804,11.71
25007,2017.0,15245.0,47.0,,49.2907,9.6818
25008,2017.0,15250.0,75.0,134.0,52.0539,9.9089
25009,2017.0,15251.0,66.0,123.0,52.6325,7.1119
25010,2017.0,15252.0,63.0,120.0,51.0219,10.5158
25011,2017.0,15253.0,62.0,102.0,52.2174,12.1634
25012,2017.0,15447.0,75.0,120.0,50.6275,11.8692
25013,2017.0,15449.0,68.0,111.0,50.2553,10.6832
25014,2017.0,15451.0,62.0,118.0,52.8567,11.14
25015,2017.0,15459.0,67.0,115.0,50.7353,13.0267
25016,2017.0,15460.0,57.0,137.0,51.0778,10.8618
25017,2017.0,15462.0,71.0,126.0,51.6747,9.164
25018,2017.0,15464.0,60.0,116.0,51.339,12.4855
25019,2017.0,15467.0,46.0,83.0,50.5085,10.4365
25020,2017.0,15470.0,63.0,,52.1135,11.5576
25021,2017.0,15474.0,65.0,104.0,49.8397,12.0471
25022,2017.0,15475.0,75.0,,49.9808,11.8377
25023,2017.0,15479.0,57.0,88.0,48.999,10.7015
25024,2017.0,15480.0,61.0,108.0,50.7446,9.345
25025,2017.0,15492.0,57.0,121.0,47.9097,10.7542
25026,2017.0,15496.0,59.0,100.0,49.507,6.5229
25027,2017.0,15497.0,66.0,137.0,51.5718,14.4767
25028,2017.0,15500.0,80.0,124.0,53.3079,12.294
25029,2017.0,15501.0,64.0,123.0,54.4401,13.1785
25030,2017.0,15502.0,78.0,,48.6621,10.3096
25031,2017.0,15504.0,64.0,125.0,51.9865,14.3034
25032,2017.0,15505.0,64.0,124.0,53.0966,11.8593
25033,2017.0,15508.0,76.0,130.0,53.4585,12.2417
25034,2017.0,15516.0,57.0,133.0,51.2648,7.0714
25035,2017.0,15519.0,53.0,97.0,51.8474,11.5933
25036,2017.0,15538.0,66.0,127.0,51.015,6.2716
25037,2017.0,15539.0,70.0,,52.9586,8.872
25038,2017.0,15540.0,102.0,140.0,48.0348,7.5836
25039,2017.0,15548.0,62.0,115.0,51.1197,6.2518
25040,2017.0,15551.0,72.0,139.0,53.7248,9.0929
25041,2017.0,15557.0,62.0,120.0,51.1781,9.3682
25042,2017.0,15563.0,62.0,121.0,50.3752,8.1161
25043,2017.0,15578.0,59.0,,50.1909,10.8439
25044,2017.0,15815.0,72.0,,53.1901,9.1522
25045,2017.0,15905.0,75.0,115.0,48.7083,13.5342
25046,2017.0,15908.0,57.0,,47.8362,11.2639
25047,2017.0,15920.0,59.0,118.0,50.8499,13.7629
25048,2017.0,15937.0,65.0,,51.776,14.3168
25049,2017.0,16076.0,64.0,120.0,51.7855,8.8388
25050,2017.0,19477.0,64.0,115.0,50.7983,6.0244
25051,2017.0,19482.0,67.0,117.0,52.5129,11.3942
25052,2017.0,19483.0,65.0,,50.3602,6.8697
25053,2017.0,19484.0,69.0,,53.3911,10.6878
25054,2017.0,19487.0,67.0,130.0,52.2915,10.4464
25055,2017.0,19488.0,62.0,129.0,48.4024,11.6946
25056,2017.0,19519.0,70.0,128.0,54.0027,11.1908
25057,2017.0,19520.0,75.0,125.0,52.1029,11.5827
25058,2017.0,19544.0,57.0,,48.6656,9.8648
25059,2017.0,19554.0,72.0,116.0,53.3222,11.9321
25060,2017.0,19555.0,55.0,112.0,48.5451,13.3532
25061,2017.0,19585.0,74.0,129.0,53.6865,11.0608
25062,2017.0,19587.0,66.0,129.0,48.7091,9.2147
25063,2017.0,19700.0,65.0,,50.4316,11.9443
25064,2017.0,19702.0,60.0,,48.0908,7.6353
25065,2017.0,19724.0,62.0,115.0,52.6861,11.4272
25066,2017.0,19727.0,69.0,150.0,51.3873,8.5737
25067,2017.0,19731.0,58.0,109.0,50.8969,13.2205
25068,2017.0,19914.0,57.0,,50.3168,9.3627
25069,2018.0,7521.0,63.0,108.0,54.4333,9.8167
25070,2018.0,7532.0,68.0,113.0,54.4,8.7667
25071,2018.0,7564.0,411.0,,54.7167,9.95
25072,2018.0,7592.0,73.0,,53.4833,10.6333
25073,2018.0,7616.0,67.0,121.0,54.6167,8.9667
25074,2018.0,7623.0,57.0,101.0,54.6667,9.1333
25075,2018.0,7642.0,74.0,,54.2333,11.0833
25076,2018.0,7650.0,55.0,,54.1,10.8167
25077,2018.0,7662.0,67.0,,53.7333,9.7833
25078,2018.0,7676.0,66.0,106.0,54.1167,10.4833
25079,2018.0,7682.0,73.0,,54.3167,10.5
25080,2018.0,7697.0,71.0,,54.1167,10.1667
25081,2018.0,7700.0,67.0,,54.1667,10.05
25082,2018.0,7711.0,66.0,,54.0833,9.65
25083,2018.0,7721.0,59.0,,54.1167,9.4333
25084,2018.0,7730.0,54.0,98.0,54.6167,9.8333
25085,2018.0,7736.0,72.0,118.0,54.55,9.4
25086,2018.0,7737.0,74.0,,54.4167,9.5167
25087,2018.0,7770.0,65.0,,53.9333,10.2
25088,2018.0,7786.0,64.0,99.0,53.7333,10.2667
25089,2018.0,7798.0,62.0,96.0,53.8667,10.3333
25090,2018.0,7799.0,56.0,,53.6167,10.4167
25091,2018.0,7807.0,68.0,,54.15,9.0667
25092,2018.0,7812.0,72.0,,53.9833,9.1167
25093,2018.0,7815.0,45.0,,53.9667,9.0833
25094,2018.0,7824.0,68.0,92.0,54.7333,8.4333
25095,2018.0,7844.0,52.0,-250.0,53.6,10.1833
25096,2018.0,7849.0,64.0,84.0,52.7,8.5
25097,2018.0,7857.0,64.0,115.0,52.6,8.8333
25098,2018.0,7865.0,65.0,,52.5667,8.5667
25099,2018.0,7910.0,65.0,,52.3,9.5
25100,2018.0,7920.0,86.0,109.0,52.5333,9.4667
25101,2018.0,7923.0,70.0,,52.4,9.45
25102,2018.0,7931.0,75.0,,52.5667,9.3
25103,2018.0,7943.0,67.0,100.0,52.5,8.9833
25104,2018.0,7946.0,70.0,109.0,52.7167,9.25
25105,2018.0,7956.0,63.0,113.0,52.45,9.4
25106,2018.0,7965.0,63.0,,52.1667,9.4333
25107,2018.0,7990.0,49.0,101.0,51.5333,10.1833
25108,2018.0,7991.0,69.0,,51.6167,10.2167
25109,2018.0,7998.0,78.0,101.0,51.8,9.7
25110,2018.0,8007.0,63.0,,51.55,10.0667
25111,2018.0,8008.0,64.0,109.0,52.0167,10.1333
25112,2018.0,8064.0,65.0,110.0,51.8167,10.0667
25113,2018.0,8091.0,66.0,103.0,52.55,9.7667
25114,2018.0,8101.0,80.0,,52.8167,9.9667
25115,2018.0,8104.0,65.0,126.0,52.7344,10.2244
25116,2018.0,8135.0,431.0,466.0,52.95,9.5333
25117,2018.0,8151.0,74.0,131.0,52.5333,10.35
25118,2018.0,8164.0,81.0,114.0,52.65,10.4333
25119,2018.0,8228.0,63.0,,53.0,11.1513
25120,2018.0,8255.0,74.0,,53.1,10.0667
25121,2018.0,8260.0,62.0,100.0,53.0333,9.8333
25122,2018.0,8261.0,72.0,132.0,53.1333,10.6
25123,2018.0,8279.0,61.0,,52.8,10.6333
25124,2018.0,8282.0,54.0,,52.9,10.45
25125,2018.0,8293.0,65.0,,53.4833,9.1333
25126,2018.0,8301.0,58.0,94.0,53.45,9.1167
25127,2018.0,8304.0,66.0,116.0,53.8167,8.7667
25128,2018.0,8333.0,76.0,115.0,53.0667,9.3167
25129,2018.0,8348.0,69.0,104.0,53.5667,9.5167
25130,2018.0,8353.0,71.0,109.0,53.6667,9.3833
25131,2018.0,8360.0,72.0,131.0,53.5167,9.4833
25132,2018.0,8392.0,63.0,,53.4167,8.5833
25133,2018.0,8400.0,72.0,,53.1,7.2167
25134,2018.0,8402.0,71.0,112.0,52.9667,7.7667
25135,2018.0,8420.0,64.0,83.0,52.4167,7.7333
25136,2018.0,8426.0,68.0,111.0,52.3,7.1167
25137,2018.0,8429.0,68.0,,52.4333,7.0833
25138,2018.0,8430.0,78.0,106.0,52.2833,7.2833
25139,2018.0,8452.0,65.0,100.0,52.7667,7.5
25140,2018.0,8459.0,77.0,111.0,52.25,7.95
25141,2018.0,8467.0,74.0,,52.3167,8.0333
25142,2018.0,8535.0,67.0,110.0,53.65,7.6167
25143,2018.0,8558.0,54.0,,52.9667,9.0167
25144,2018.0,8584.0,76.0,90.0,52.3667,10.9333
25145,2018.0,8585.0,66.0,128.0,52.2333,11.0167
25146,2018.0,8594.0,72.0,138.0,52.2833,10.75
25147,2018.0,8616.0,67.0,129.0,53.15,8.2
25148,2018.0,8618.0,59.0,,53.1333,7.9833
25149,2018.0,8623.0,64.0,,53.2452,7.9053
25150,2018.0,8631.0,74.0,,53.2,7.9833
25151,2018.0,8644.0,70.0,110.0,52.7333,7.7667
25152,2018.0,8652.0,69.0,,53.6833,7.9333
25153,2018.0,8653.0,84.0,134.0,53.5833,7.9
25154,2018.0,8666.0,66.0,111.0,53.4167,7.9833
25155,2018.0,8670.0,78.0,104.0,53.1,8.5333
25156,2018.0,8675.0,56.0,97.0,53.0667,8.1667
25157,2018.0,8723.0,78.0,,51.3833,6.6
25158,2018.0,8759.0,94.0,147.0,51.2833,6.2
25159,2018.0,8772.0,65.0,85.0,51.7,6.1667
25160,2018.0,8776.0,64.0,101.0,51.7833,6.0167
25161,2018.0,8779.0,56.0,115.0,51.6667,6.2667
25162,2018.0,8810.0,73.0,100.0,51.5167,6.4
25163,2018.0,8817.0,65.0,,51.45,6.6333
25164,2018.0,8822.0,63.0,105.0,51.5833,6.5333
25165,2018.0,8824.0,68.0,,51.65,6.6167
25166,2018.0,8841.0,65.0,,50.7667,7.1333
25167,2018.0,8851.0,70.0,,50.6833,6.6667
25168,2018.0,8892.0,71.0,,51.0,7.1333
25169,2018.0,8894.0,64.0,112.0,51.1,7.3833
25170,2018.0,8906.0,62.0,121.0,51.0667,7.3167
25171,2018.0,8917.0,62.0,,50.9,7.4
25172,2018.0,8932.0,64.0,,50.8167,6.2667
25173,2018.0,8934.0,71.0,106.0,50.7833,6.2
25174,2018.0,8940.0,67.0,,50.8,6.4167
25175,2018.0,8958.0,64.0,103.0,50.8833,6.45
25176,2018.0,8990.0,76.0,107.0,50.9167,6.1167
25177,2018.0,9005.0,79.0,128.0,52.1167,7.1167
25178,2018.0,9012.0,71.0,100.0,51.7,7.8333
25179,2018.0,9015.0,71.0,100.0,51.8042,8.2049
25180,2018.0,9030.0,67.0,,51.8333,7.3
25181,2018.0,9040.0,63.0,118.0,51.6667,7.4667
25182,2018.0,9055.0,68.0,,52.15,7.3333
25183,2018.0,9057.0,66.0,103.0,52.15,7.6
25184,2018.0,9068.0,57.0,87.0,52.1333,7.7333
25185,2018.0,9074.0,70.0,106.0,52.2667,7.7833
25186,2018.0,9080.0,67.0,104.0,51.95,7.9833
25187,2018.0,9087.0,64.0,,51.5833,7.0667
25188,2018.0,9131.0,53.0,,52.05,8.3667
25189,2018.0,9143.0,70.0,107.0,52.15,8.8
25190,2018.0,9164.0,72.0,,52.1,8.9333
25191,2018.0,9169.0,60.0,114.0,52.4167,8.6167
25192,2018.0,9180.0,78.0,125.0,52.3,8.9167
25193,2018.0,9182.0,78.0,125.0,52.3333,8.75
25194,2018.0,9200.0,67.0,107.0,51.7333,8.7167
25195,2018.0,9202.0,69.0,,51.5833,9.25
25196,2018.0,9203.0,71.0,105.0,51.5833,9.3
25197,2018.0,9233.0,62.0,109.0,51.1167,7.75
25198,2018.0,9241.0,71.0,,51.35,7.95
25199,2018.0,9256.0,56.0,118.0,51.2,8.7
25200,2018.0,9268.0,60.0,,51.6333,8.5167
25201,2018.0,9273.0,70.0,101.0,51.5333,8.2833
25202,2018.0,9278.0,65.0,109.0,51.35,8.3333
25203,2018.0,9291.0,76.0,,51.15,8.2833
25204,2018.0,9293.0,85.0,,51.1833,8.1167
25205,2018.0,9309.0,56.0,78.0,50.7167,8.15
25206,2018.0,9314.0,62.0,,50.9,7.8667
25207,2018.0,9326.0,73.0,108.0,51.4996,8.0539
25208,2018.0,9372.0,70.0,119.0,51.4333,7.5833
25209,2018.0,9374.0,52.0,116.0,51.5833,7.6667
25210,2018.0,9401.0,63.0,101.0,49.6667,8.65
25211,2018.0,9416.0,71.0,,50.45,9.1333
25212,2018.0,9429.0,58.0,,49.8,8.6
25213,2018.0,9435.0,64.0,108.0,49.9023,8.8382
25214,2018.0,9436.0,67.0,105.0,49.8667,9.0167
25215,2018.0,9455.0,77.0,109.0,49.7333,9.0
25216,2018.0,9461.0,60.0,93.0,49.7167,8.8333
25217,2018.0,9462.0,69.0,,49.7833,9.0333
25218,2018.0,9480.0,68.0,129.0,50.5833,8.75
25219,2018.0,9490.0,64.0,94.0,50.5167,8.8167
25220,2018.0,9499.0,65.0,,49.75,8.4833
25221,2018.0,9500.0,82.0,,49.9167,8.4833
25222,2018.0,9502.0,82.0,118.0,49.9953,8.5685
25223,2018.0,9522.0,58.0,,50.05,8.9333
25224,2018.0,9530.0,57.0,,50.1167,8.9167
25225,2018.0,9536.0,66.0,92.0,51.1833,10.1167
25226,2018.0,9542.0,66.0,93.0,51.2167,10.0167
25227,2018.0,9550.0,59.0,,50.9833,8.7333
25228,2018.0,9571.0,64.0,,50.9833,9.2667
25229,2018.0,9593.0,-316.0,,50.5667,9.7667
25230,2018.0,9610.0,58.0,,50.8667,9.7
25231,2018.0,9619.0,65.0,,51.4833,9.25
25232,2018.0,9621.0,64.0,,51.4,9.4667
25233,2018.0,9634.0,70.0,,50.75,9.8167
25234,2018.0,9646.0,63.0,114.0,51.2833,9.6
25235,2018.0,9647.0,57.0,,51.2833,9.6333
25236,2018.0,9651.0,58.0,109.0,51.2333,9.5667
25237,2018.0,9663.0,66.0,,50.6833,8.6
25238,2018.0,9667.0,49.0,,50.85,9.1167
25239,2018.0,9698.0,72.0,,51.0167,9.9333
25240,2018.0,9706.0,76.0,,50.95,9.8667
25241,2018.0,9719.0,72.0,,51.3167,8.7333
25242,2018.0,9730.0,85.0,127.0,51.3333,8.9
25243,2018.0,9732.0,72.0,104.0,51.4667,9.0167
25244,2018.0,9764.0,61.0,,51.45,9.25
25245,2018.0,9768.0,70.0,,51.241,9.2629
25246,2018.0,9777.0,57.0,86.0,50.8667,9.4667
25247,2018.0,9794.0,64.0,,50.05,8.3
25248,2018.0,9833.0,66.0,,50.15,8.75
25249,2018.0,9867.0,57.0,102.0,50.2,8.5833
25250,2018.0,9901.0,70.0,123.0,50.3,8.5167
25251,2018.0,9923.0,69.0,113.0,50.5333,8.5
25252,2018.0,9954.0,69.0,,50.6833,7.6833
25253,2018.0,9968.0,65.0,117.0,49.6333,7.2833
25254,2018.0,10000.0,96.0,,49.8667,7.65
25255,2018.0,10016.0,69.0,102.0,50.6667,7.4333
25256,2018.0,10040.0,69.0,,49.9833,7.6
25257,2018.0,10045.0,81.0,109.0,49.9667,7.3
25258,2018.0,10050.0,81.0,132.0,49.7333,6.65
25259,2018.0,10086.0,73.0,103.0,50.3,6.7333
25260,2018.0,10091.0,57.0,,50.2833,6.6333
25261,2018.0,10093.0,78.0,,50.2,6.4167
25262,2018.0,10117.0,80.0,118.0,49.7,6.9167
25263,2018.0,10148.0,61.0,92.0,50.2333,7.8667
25264,2018.0,10149.0,70.0,116.0,50.1333,7.75
25265,2018.0,10151.0,60.0,105.0,50.1667,7.7333
25266,2018.0,10170.0,69.0,103.0,50.4333,7.8333
25267,2018.0,10176.0,65.0,116.0,49.6333,8.3667
25268,2018.0,10216.0,73.0,106.0,49.0333,8.0
25269,2018.0,10230.0,40.0,77.0,49.5,7.9167
25270,2018.0,10247.0,75.0,,49.45,7.3167
25271,2018.0,10261.0,67.0,106.0,49.2667,8.2167
25272,2018.0,10268.0,61.0,115.0,49.4571,8.2892
25273,2018.0,10288.0,49.0,78.0,49.2939,7.6128
25274,2018.0,10295.0,76.0,,49.5833,7.7667
25275,2018.0,10323.0,67.0,,48.8442,10.0865
25276,2018.0,10326.0,60.0,97.0,49.0167,10.2167
25277,2018.0,10330.0,70.0,,48.75,10.3333
25278,2018.0,10353.0,67.0,117.0,48.7,9.0
25279,2018.0,10360.0,71.0,96.0,49.25,9.95
25280,2018.0,10364.0,69.0,99.0,49.1333,10.2333
25281,2018.0,10396.0,69.0,,49.2167,9.1
25282,2018.0,10416.0,65.0,,49.3833,9.7
25283,2018.0,10422.0,76.0,97.0,48.8667,9.0333
25284,2018.0,10445.0,75.0,99.0,49.5333,9.85
25285,2018.0,10449.0,77.0,,49.4833,9.7667
25286,2018.0,10450.0,62.0,90.0,49.5333,9.9
25287,2018.0,10458.0,66.0,109.0,48.65,9.4667
25288,2018.0,10461.0,77.0,108.0,48.65,9.5333
25289,2018.0,10470.0,60.0,,49.15,9.6167
25290,2018.0,10487.0,74.0,105.0,49.0833,9.8833
25291,2018.0,10492.0,64.0,,48.55,9.8
25292,2018.0,10498.0,65.0,,48.9667,8.9667
25293,2018.0,10526.0,64.0,117.0,49.1,8.65
25294,2018.0,10536.0,62.0,122.0,49.2167,8.5167
25295,2018.0,10541.0,76.0,82.0,49.5333,9.55
25296,2018.0,10542.0,75.0,104.0,49.5333,9.3167
25297,2018.0,10549.0,61.0,91.0,49.4667,9.5833
25298,2018.0,10556.0,56.0,,49.3333,8.75
25299,2018.0,10564.0,68.0,116.0,49.2667,8.75
25300,2018.0,10570.0,62.0,100.0,49.0333,8.7
25301,2018.0,10572.0,60.0,106.0,49.0833,8.3833
25302,2018.0,10573.0,83.0,,48.9436,8.4038
25303,2018.0,10583.0,61.0,93.0,49.4,8.5333
25304,2018.0,10593.0,453.0,105.0,49.55,8.6833
25305,2018.0,10597.0,68.0,,49.4667,9.2167
25306,2018.0,10600.0,66.0,93.0,49.4167,9.2833
25307,2018.0,10606.0,64.0,,48.9,8.5667
25308,2018.0,10619.0,64.0,111.0,49.3333,8.95
25309,2018.0,10622.0,68.0,,49.0833,8.85
25310,2018.0,10643.0,-295.0,,49.6667,9.65
25311,2018.0,10645.0,60.0,,49.75,9.4833
25312,2018.0,10651.0,72.0,106.0,48.7,8.1333
25313,2018.0,10653.0,69.0,117.0,48.6167,8.05
25314,2018.0,10659.0,72.0,110.0,47.95,8.5
25315,2018.0,10662.0,67.0,,47.9167,8.8
25316,2018.0,10700.0,77.0,117.0,47.7333,9.0667
25317,2018.0,10706.0,70.0,101.0,47.8167,8.6667
25318,2018.0,10708.0,77.0,96.0,48.3333,7.8833
25319,2018.0,10729.0,67.0,115.0,47.8667,7.6
25320,2018.0,10751.0,62.0,104.0,48.5333,8.0833
25321,2018.0,10752.0,72.0,123.0,48.4667,7.95
25322,2018.0,10753.0,72.0,,48.4833,8.1667
25323,2018.0,10767.0,70.0,121.0,47.6,7.8833
25324,2018.0,10775.0,68.0,120.0,48.0,9.0333
25325,2018.0,10786.0,74.0,,47.7667,9.3167
25326,2018.0,10810.0,75.0,,48.2833,8.0833
25327,2018.0,10812.0,60.0,72.0,48.4167,8.0833
25328,2018.0,10821.0,61.0,,48.2,8.8833
25329,2018.0,10831.0,76.0,,48.0333,9.8
25330,2018.0,10848.0,71.0,117.0,48.2833,9.7167
25331,2018.0,10851.0,81.0,116.0,48.35,9.8167
25332,2018.0,10859.0,71.0,92.0,48.4167,8.4667
25333,2018.0,10869.0,70.0,105.0,48.45,8.6833
25334,2018.0,10872.0,74.0,121.0,48.3667,9.3333
25335,2018.0,10886.0,68.0,119.0,47.7667,9.5333
25336,2018.0,10906.0,71.0,92.0,47.9333,9.55
25337,2018.0,10907.0,62.0,-272.0,48.0833,9.3667
25338,2018.0,10920.0,69.0,109.0,48.0167,9.25
25339,2018.0,10954.0,81.0,,48.05,10.8833
25340,2018.0,10968.0,71.0,121.0,48.5833,11.0833
25341,2018.0,10983.0,73.0,109.0,47.85,12.0667
25342,2018.0,11004.0,71.0,,48.05,11.95
25343,2018.0,11009.0,61.0,96.0,48.3167,11.9167
25344,2018.0,11010.0,66.0,,48.2833,11.8333
25345,2018.0,11033.0,64.0,84.0,48.7833,11.2833
25346,2018.0,11073.0,69.0,136.0,48.2,12.4167
25347,2018.0,11076.0,68.0,121.0,48.1167,11.7333
25348,2018.0,11088.0,80.0,,47.75,12.1167
25349,2018.0,11100.0,68.0,,48.45,11.35
25350,2018.0,11101.0,68.0,99.0,48.6333,11.3167
25351,2018.0,11131.0,82.0,107.0,48.0333,12.55
25352,2018.0,11136.0,73.0,121.0,48.15,12.2833
25353,2018.0,11162.0,60.0,,48.8333,12.9667
25354,2018.0,11170.0,65.0,102.0,49.0667,12.6167
25355,2018.0,11172.0,68.0,104.0,48.85,13.15
25356,2018.0,11174.0,70.0,111.0,48.8167,12.8
25357,2018.0,11176.0,62.0,114.0,48.6167,12.5333
25358,2018.0,11193.0,67.0,110.0,48.85,13.3333
25359,2018.0,11203.0,82.0,106.0,48.4,13.3167
25360,2018.0,11211.0,71.0,,48.9,12.0167
25361,2018.0,11214.0,66.0,106.0,49.1333,12.7333
25362,2018.0,11220.0,67.0,104.0,48.5833,12.1833
25363,2018.0,11221.0,66.0,130.0,48.6167,12.2
25364,2018.0,11241.0,65.0,114.0,48.4833,13.4333
25365,2018.0,11243.0,74.0,,48.3,13.15
25366,2018.0,11249.0,66.0,104.0,48.4,13.0
25367,2018.0,11251.0,48.0,,48.9333,13.2
25368,2018.0,11254.0,77.0,111.0,48.9667,13.1333
25369,2018.0,11271.0,70.0,113.0,48.4667,12.5667
25370,2018.0,11272.0,62.0,,48.45,12.35
25371,2018.0,11292.0,76.0,,48.75,13.8167
25372,2018.0,11295.0,89.0,115.0,48.75,13.5167
25373,2018.0,11300.0,69.0,,49.45,11.8667
25374,2018.0,11307.0,65.0,103.0,49.4,12.0167
25375,2018.0,11314.0,78.0,135.0,49.6,11.75
25376,2018.0,11317.0,51.0,90.0,49.6167,11.8167
25377,2018.0,11326.0,86.0,112.0,49.1667,11.9667
25378,2018.0,11328.0,68.0,113.0,49.2667,11.9167
25379,2018.0,11334.0,70.0,97.0,49.2167,12.7667
25380,2018.0,11343.0,60.0,106.0,49.3833,11.65
25381,2018.0,11344.0,69.0,100.0,49.8667,11.9
25382,2018.0,11345.0,72.0,105.0,49.95,12.0333
25383,2018.0,11352.0,61.0,,49.1667,11.45
25384,2018.0,11358.0,66.0,,49.35,12.35
25385,2018.0,11359.0,68.0,,49.3167,12.3
25386,2018.0,11362.0,69.0,93.0,49.5833,12.15
25387,2018.0,11364.0,68.0,,49.7167,12.1833
25388,2018.0,11377.0,74.0,,49.1,11.8167
25389,2018.0,11380.0,61.0,102.0,49.05,11.9167
25390,2018.0,11381.0,60.0,,49.05,11.8833
25391,2018.0,11384.0,69.0,101.0,49.2167,11.7667
25392,2018.0,11392.0,64.0,,49.0,11.9167
25393,2018.0,11393.0,69.0,98.0,48.9667,12.0833
25394,2018.0,11396.0,71.0,,49.0167,11.9333
